rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
3614,TIC 237913194 b,TIC 237913194,0.0009267271179654073,0.09267271179654073,0,0,2020
3615,NGTS-15 b,NGTS-15,0.0009265661720485417,0.09265661720485417,0,0,2021
3616,NGTS-3 A b,NGTS-3 A,0.0009260415537579671,0.0926041553757967,0,0,2018
3617,HATS-17 b,HATS-17,0.0009258829293625502,0.09258829293625502,0,0,2016
3618,CoRoT-4 b,CoRoT-4,0.0009256364157524165,0.09256364157524165,0,0,2008
3619,Kepler-101 b,Kepler-101,0.0009255739716251977,0.09255739716251976,0,0,2014
3620,Kepler-730 b,Kepler-730,0.0009251939277495401,0.09251939277495401,0,0,2016
3621,TOI-1478 b,TOI-1478,0.0009239330088532284,0.09239330088532284,0,0,2021
3622,WASP-97 b,WASP-97,0.0009236795318607735,0.09236795318607735,0,0,2014
3623,TOI-2449 b,TOI-2449,0.00092351253205342,0.092351253205342,0,0,2025
3624,Kepler-856 b,Kepler-856,0.0009233953367250363,0.09233953367250364,0,0,2016
3625,TOI-4641 b,TOI-4641,0.0009233209256247338,0.09233209256247338,0,0,2023
3626,HAT-P-51 b,HAT-P-51,0.0009232142201944267,0.09232142201944267,0,0,2015
3627,Kepler-536 b,Kepler-536,0.0009229962754249493,0.09229962754249493,0,0,2016
3628,WASP-102 b,WASP-102,0.000922159623236303,0.0922159623236303,0,0,2025
3629,NGTS-16 b,NGTS-16,0.0009220911628181593,0.09220911628181594,0,0,2021
3630,CoRoT-2 b,CoRoT-2,0.0009218325764325236,0.09218325764325236,0,0,2008
3631,HAT-P-21 b,HAT-P-21,0.0009215312013543086,0.09215312013543087,0,0,2010
3632,Kepler-637 b,Kepler-637,0.0009214530779729614,0.09214530779729614,0,0,2016
3633,TOI-3540 A b,TOI-3540 A,0.0009207584603033072,0.09207584603033073,0,0,2022
3634,HAT-P-23 b,HAT-P-23,0.0009205911296197685,0.09205911296197684,0,0,2010
3635,HD 1397 b,HD 1397,0.0009204542981000973,0.09204542981000972,0,0,2018
3636,KELT-23 A b,KELT-23 A,0.0009201989558807793,0.09201989558807792,0,0,2019
3637,TOI-5153 b,TOI-5153,0.0009201657734099816,0.09201657734099816,0,0,2022
3638,CoRoT-18 b,CoRoT-18,0.0009195266002062212,0.09195266002062212,0,0,2011
3639,Gaia-1 b,Gaia-1,0.0009195098875991993,0.09195098875991993,0,0,2022
3640,TOI-2977 b,TOI-2977,0.000919425304437056,0.09194253044370561,0,0,2023
3641,WASP-96 b,WASP-96,0.0009192732881823497,0.09192732881823497,0,0,2014
3642,TOI-3593 b,TOI-3593,0.000919051482079591,0.0919051482079591,0,0,2025
3643,TOI-5322 b,TOI-5322,0.0009185984710648688,0.09185984710648688,0,0,2025
3644,TOI-3919 b,TOI-3919,0.0009183858988226024,0.09183858988226024,0,0,2024
3645,Kepler-1517 b,Kepler-1517,0.0009182337144439581,0.09182337144439581,0,0,2016
3646,WASP-95 b,WASP-95,0.0009182232398500447,0.09182232398500446,0,0,2014
3647,TOI-7510 b,TOI-7510,0.0009181253923431197,0.09181253923431197,0,0,2025
3648,TOI-2338 b,TOI-2338,0.0009174217008807766,0.09174217008807765,0,0,2023
3649,K2-113 b,K2-113,0.0009172926872589554,0.09172926872589554,0,0,2017
3650,TOI-5350 b,TOI-5350,0.0009166567638460866,0.09166567638460867,0,0,2025
3651,LTT 9779 b,LTT 9779,0.0009164607258126789,0.09164607258126789,0,0,2020
3652,TOI-4914 b,TOI-4914,0.0009159308975364376,0.09159308975364376,0,0,2024
3653,TOI-2818 b,TOI-2818,0.0009157392821465412,0.09157392821465413,0,0,2023
